Date,Open,High,Low,Close,Volume
10/20/2020,572.33,575.69,534.59,537.02,12098179
10/21/2020,535.88,551.66,511.78,513.19,9215428
10/22/2020,521.78,530.4299,503.47,520.54,8100869
10/23/2020,522.33,526.9999,505.41,511.52,5377118
10/26/2020,520.4885,541.105,510.31,517.79,10080795
10/27/2020,525.22,540.0,513.3,538.99,7227645
10/28/2020,549.5,553.8594,511.5001,516.01,8810070
10/29/2020,521.19,525.455,483.5,489.68,9207566
10/30/2020,481.5,495.95,457.0201,460.91,8715083
11/02/2020,462.29,477.0,440.0,453.0,8051893
11/03/2020,456.3284,461.88,445.01,451.51,6496995
11/04/2020,471.92,484.94,455.4,483.7,8048450
11/05/2020,497.99,499.35,480.761,496.73,6379939
11/06/2020,494.66,505.88,482.73,500.11,4265950
11/09/2020,433.0,446.47,402.0,413.24,18033547
11/10/2020,412.5035,414.45,366.28,376.01,20751949
11/11/2020,391.65,419.8,385.0,413.34,16691084
11/12/2020,427.85,435.75,419.61,428.64,14935982
11/13/2020,425.99,428.4685,396.87,403.58,11773787
11/16/2020,382.6,400.8,375.1,399.15,12054432
11/17/2020,406.29,411.5,396.32,401.63,6972081
11/18/2020,399.0,423.5,390.22,415.04,10974220
11/19/2020,408.99,427.89,407.5,414.29,8007026
11/20/2020,418.55,445.3,415.56,439.6,12586597
11/23/2020,432.01,436.513,417.88,430.28,8486030
11/24/2020,421.505,438.8323,420.01,427.55,6148416
11/25/2020,435.85,448.48,433.3301,443.72,8763739
11/27/2020,453.99,472.04,449.0,471.61,7276411
11/30/2020,485.7,486.83,460.0,478.36,16646500
12/01/2020,434.72,434.99,401.72,406.31,20916103
12/02/2020,399.0,424.55,394.57,412.86,10962837
12/03/2020,413.0,419.17,405.02,413.54,6306724
12/04/2020,409.26,418.88,408.1861,410.01,4447314
12/07/2020,411.0,416.8,405.4538,407.85,4427276
12/08/2020,408.87,419.5,406.75,412.0,5319440
12/09/2020,406.7478,409.99,381.5,385.36,8956659
12/10/2020,382.73,399.0,380.27,397.96,4572146
12/11/2020,395.35,397.3393,384.6136,397.01,4677441
12/14/2020,388.95,396.75,376.68,395.99,6820120
12/15/2020,398.505,410.32,395.08,399.43,5144653
12/16/2020,400.4861,406.5579,393.46,404.0,4158539
12/17/2020,408.72,409.03,399.56,401.62,3792528
12/18/2020,403.8,408.11,398.25,406.01,6174772
12/21/2020,418.07,427.7594,404.58,408.97,8557350
12/22/2020,408.5,413.5,396.5,409.0,4218767
12/23/2020,402.0,402.6,378.58,383.88,9554390
12/24/2020,383.88,384.88,375.0,375.17,3850734
12/28/2020,370.4,373.28,349.0197,351.39,9454792
12/29/2020,350.6597,359.9072,350.13,353.75,6080283
12/30/2020,358.42,358.7,345.4,353.4,5474464
12/31/2020,351.77,351.83,336.1,337.32,6559744
01/04/2021,340.4,363.09,339.2,359.98,8598300
01/05/2021,360.39,365.01,349.0,360.83,4983521
01/06/2021,351.0,352.94,341.92,344.41,7124614
01/07/2021,346.0,354.48,341.6,342.5,5601170
01/08/2021,345.2,350.0,340.34,349.61,5009213
01/11/2021,344.98,349.96,336.85,337.71,3360357
01/12/2021,333.2,358.9,331.1,356.81,8972461
01/13/2021,360.0,384.23,348.6512,364.63,14056546
01/14/2021,371.0,384.95,370.5,383.24,9310967
01/15/2021,397.71,404.44,382.0701,384.53,12799509
01/19/2021,391.01,396.77,385.5101,393.87,5709437
01/20/2021,399.11,399.53,378.3187,382.8,5713892
01/21/2021,383.03,387.21,372.03,382.81,5180798
01/22/2021,380.99,385.2899,376.38,383.4,2791585
01/25/2021,388.99,398.8,378.27,391.83,5178085
01/26/2021,391.08,395.8199,372.2,374.39,5151261
01/27/2021,367.5,384.2544,362.7655,370.74,4557483
01/28/2021,368.0,383.3139,363.86,378.59,3374206
01/29/2021,379.0,385.91,358.6201,372.07,3958970
02/01/2021,369.0,382.78,368.13,381.93,3443852
02/02/2021,384.5,394.89,378.6801,391.84,3780072
02/03/2021,395.79,395.79,379.0,380.47,3433077
02/04/2021,383.5,390.0,376.87,389.98,2528066
02/05/2021,387.86,420.0,387.86,419.59,9759071
02/08/2021,420.74,422.0,406.5,410.81,3737875
02/09/2021,411.6946,434.67,410.3128,430.03,5115390
02/10/2021,431.89,441.22,416.1443,431.0,4738316
02/11/2021,433.99,443.75,429.51,432.77,3502618
02/12/2021,431.52,435.0,423.13,433.11,2077846
02/16/2021,438.7965,451.77,436.7,444.51,4249151
02/17/2021,440.02,441.2,418.25,429.42,4006475
02/18/2021,426.75,428.88,414.0,417.91,2645328
02/19/2021,419.22,425.99,414.5,417.26,2195043
02/22/2021,408.5,411.72,390.6,394.34,4340255
02/23/2021,371.01,389.99,351.81,388.16,5558188
02/24/2021,383.13,388.675,375.62,385.23,3442360
02/25/2021,383.78,387.655,361.01,364.73,4585104
02/26/2021,367.95,377.094,356.1709,373.61,4702413
03/01/2021,388.66,416.2,387.01,409.66,10044698
03/02/2021,439.6,440.0,371.82,372.79,18156568
03/03/2021,383.0,383.25,339.0,341.57,15526026
03/04/2021,347.8,358.2999,333.0,343.09,10328083
03/05/2021,345.39,347.75,314.38,337.43,8255524
03/08/2021,334.99,339.35,309.0,310.93,6899076
03/09/2021,331.95,343.576,320.8,342.11,5705183
03/10/2021,347.99,355.69,333.0101,336.03,4729969
03/11/2021,347.99,357.3983,338.8,355.17,3915392
03/12/2021,342.01,350.44,338.43,346.39,2960750
03/15/2021,347.0759,351.56,343.5,350.0,1993509
03/16/2021,351.99,355.49,333.69,335.08,3333166
03/17/2021,328.57,340.54,322.66,336.65,3593229
03/18/2021,330.0,330.33,316.0,316.32,5446757
03/19/2021,316.83,327.9773,313.63,326.26,4981385
03/22/2021,329.45,333.8899,327.01,328.5,2947934
03/23/2021,330.0,347.4,329.3523,339.76,5723818
03/24/2021,338.6754,339.99,314.3504,314.96,4924523
03/25/2021,310.95,320.63,308.31,314.85,3564820
03/26/2021,312.89,320.0,306.75,319.95,3219843
03/29/2021,317.07,322.97,305.78,308.39,3041416
03/30/2021,305.0,314.88,302.32,313.19,2837135
03/31/2021,315.235,325.74,311.13,321.29,2773222
04/01/2021,325.98,338.91,325.5,326.23,2853899
04/05/2021,327.83,328.4999,313.1,323.96,3024709
04/06/2021,323.75,332.66,321.66,329.79,3767050
04/07/2021,329.11,333.44,319.23,323.08,4197653
04/08/2021,326.85,333.9899,326.0,331.28,2821481
04/09/2021,329.1025,329.82,319.42,322.65,3216481
04/12/2021,318.1,322.3799,315.19,321.51,2964475
04/13/2021,327.3584,343.7075,325.5,342.75,5298165
04/14/2021,344.72,345.02,328.63,329.2,2844896
04/15/2021,334.145,338.42,327.46,332.38,3360706
04/16/2021,330.27,333.75,326.87,329.95,2476528
04/19/2021,327.52,337.795,320.5,324.33,3131938
04/20/2021,326.73,327.55,316.3601,321.78,2282512
